muonID	time	pos_x	pos_y	pos_z
99	16195	-131.196	-257.488	2.1
19	5005	-143.84	197.979	137.28
19	5005	-72.5863	-142.459	119.99
2	5005	133.285	-0	89.88
52	3320	-53.6095	-105.215	157.04
4	8150	-34.8208	-107.167	-19.58
-999	14840	-31.6171	-97.3073	-4
46	5980	-89.0966	89.0966	-191.81
57	455	-47.4516	-146.041	-10.46
81	2365	-51.6921	-159.092	-9.32
57	460	-46.2367	-142.302	-74.68
45	4245	-137.706	137.706	-138.61
94	4855	-64.2564	-197.761	-13.31
57	465	-139.318	139.318	-156.09
7	20680	-84.5749	-260.295	-22.43
32	13615	-88.5732	-272.6	-16.16
71	450	-62.8803	-193.526	-65.18
20	13480	-76.6192	-235.81	-171.86
4	8160	-38.2517	-117.727	38.01
4	8160	-37.0774	-114.113	38.01
4	8157.5	-35.6683	-109.776	38.01
4	8157.5	-38.2517	-117.727	21.1
4	8157.5	-37.0774	-114.113	21.1
4	8155	-35.6683	-109.776	21.1
4	8155	-34.7289	-106.884	21.1
4	8160	-38.2517	-117.727	19.96
4	8160	-37.0774	-114.113	19.96
4	8157.5	-35.6683	-109.776	19.96
4	8155	-35.6683	-109.776	4.57
4	8155	-34.7289	-106.884	4.57
19	5000	-54.8088	-168.684	45.8
91	4755	-104.189	104.189	163.12
29	9695	-33.9362	-104.445	81.52
4	8160	-43.2423	-133.086	66.13
83	3125	-32.9362	-101.367	56.25
15	18230	-125.457	125.457	120.37
4	8165	-48.0835	-147.986	94.915
4	8165	-46.4128	-142.844	94.915
4	8165	-44.5927	-137.242	94.915
4	8165	-48.0835	-147.986	77.15
4	8165	-46.4128	-142.844	77.15
4	8165	-44.5927	-137.242	77.15
4	8165	-48.0835	-147.986	70.31
4	8165	-46.4128	-142.844	70.31
4	8165	-44.5927	-137.242	70.31
4	8165	-48.0835	-147.986	68.98
4	8165	-46.4128	-142.844	68.98
4	8165	-44.5927	-137.242	68.98
83	3125	-55.7847	-171.688	52.64
19	5005	-164.979	164.979	135.38
27	12255	-59.7685	-183.949	44.09
83	3125	-66.3631	-204.245	16.16
26	7640	-166.188	166.188	177.75
87	1120	-78.043	-240.192	20.91
75	21200	-71.0415	-218.643	57.96
75	21202.5	-70.9827	-218.462	57.96
19	5005	-50.053	-154.047	119.42
52	3320	-37.6058	-115.739	152.86
45	4245	-160.78	116.814	-137.09
4	8150	-17.4026	-109.875	-19.39
-999	14840	-15.6043	-98.5219	-4.76
46	5980	-94.3031	68.5152	-196.264
46	5980	-94.3031	68.5152	-194.404
57	455	-22.5148	-142.153	-9.32
94	4855	-35.4721	-223.962	-11.6
81	2365	-31.3735	-198.084	-8.18
57	465	-164.777	119.717	-155.33
17	5395	-41.4492	-261.7	-45.8
7	20680	-44.0778	-278.296	-20.72
69	25545	-231.642	168.298	-170.34
71	450	-30.554	-192.91	-62.9
93	16892.5	-35.5771	-224.625	-145.26
93	16895	-32.1293	-202.856	-145.26
93	16895	-31.6537	-199.854	-145.26
93	16895	-31.1484	-196.664	-145.26
93	16892.5	-35.5771	-224.625	-142.6
93	16895	-32.1293	-202.856	-142.6
93	16895	-31.6537	-199.854	-142.6
93	16895	-31.1484	-196.664	-142.6
93	16890	-35.5771	-224.625	-132.34
93	16892.5	-32.1293	-202.856	-132.34
93	16892.5	-31.6537	-199.854	-132.34
93	16892.5	-31.1484	-196.664	-132.34
93	16892.5	-35.5771	-224.625	-128.92
93	16895	-32.1293	-202.856	-128.92
93	16895	-31.6537	-199.854	-128.92
93	16895	-31.1484	-196.664	-128.92
69	25545	-36.558	-230.818	-120.75
94	4860	-34.7746	-219.558	-101.37
4	8160	-19.6615	-124.138	38.58
4	8160	-18.859	-119.071	38.58
4	8157.5	-17.9078	-113.066	38.58
4	8155	-17.9078	-113.066	21.48
4	8155	-17.3431	-109.5	21.48
4	8160	-19.6615	-124.138	20.34
4	8160	-18.859	-119.071	20.34
4	8157.5	-17.9078	-113.066	20.34
4	8157.5	-19.6615	-124.138	4.95
4	8157.5	-18.859	-119.071	4.95
4	8155	-17.9078	-113.066	4.95
4	8155	-17.3431	-109.5	4.95
19	5000	-28.3107	-178.747	44.47
91	4755	-125.781	91.3855	167.3
29	9695	-19.3841	-122.386	79.24
40	4870	-131.875	95.8128	134.81
60	5840	-130.503	94.8156	116.38
60	5840	-127.433	92.5858	116.38
60	5840	-125.661	91.2977	116.38
60	5840	-130.503	94.8156	108.59
60	5840	-127.433	92.5858	108.59
60	5840	-125.661	91.2977	108.59
60	5840	-130.503	94.8156	106.12
60	5840	-127.433	92.5858	106.12
60	5840	-125.661	91.2977	106.12
4	8165	-24.4617	-154.445	96.91
4	8165	-23.8948	-150.866	96.91
4	8165	-23.2579	-146.845	96.91
4	8162.5	-22.5862	-142.603	96.91
4	8165	-24.4617	-154.445	76.2
4	8165	-23.8948	-150.866	76.2
4	8165	-23.2579	-146.845	76.2
4	8162.5	-22.5862	-142.603	76.2
4	8165	-24.4617	-154.445	71.45
4	8165	-23.8948	-150.866	71.45
4	8165	-23.2579	-146.845	71.45
4	8162.5	-22.5862	-142.603	71.45
4	8162.5	-24.4617	-154.445	68.6
4	8162.5	-23.8948	-150.866	68.6
4	8162.5	-23.2579	-146.845	68.6
4	8160	-22.5862	-142.603	68.6
19	5005	-179.533	130.438	133.48
89	13565	-30.8977	-195.08	44.66
27	12250	-31.5348	-199.103	42
89	13565	-30.8977	-195.08	17.87
26	7640	-191.733	139.302	175.09
4	8160	-45.128	-284.927	48.65
75	21200	-41.1217	-259.632	46.56
89	13565	-44.7186	-282.342	35.92
87	1120	-43.6535	-275.618	15.59
83	3120	-40.2733	-254.275	12.36
89	13565	-31.7586	-200.516	86.08
83	3125	-35.6544	-225.113	50.74
36	25380	-212.735	154.561	125.042
60	5840	-223.16	162.135	113.53
60	5840	-219.696	159.619	113.53
60	5840	-214.648	155.951	113.53
60	5840	-223.16	162.135	110.11
60	5840	-219.696	159.619	110.11
60	5840	-214.648	155.951	110.11
60	5840	-223.16	162.135	105.36
60	5840	-219.696	159.619	105.36
60	5840	-214.648	155.951	105.36
19	5005	-25.8438	-163.171	118.66
31	5660	-249.471	-127.112	65.75
4	8150	7.07109e-15	-115.483	-19.39
57	455	8.31232e-15	-135.755	-8.18
16	21540	6.81953e-15	-111.375	-89.8956
16	21540	6.81953e-15	-111.375	-87.3518
16	21540	6.81953e-15	-111.375	-80.2806
57	460	8.01483e-15	-130.896	-71.07
16	21540	6.81953e-15	-111.375	-57.4322
